--- Audit Results ---
File: japan-medical-japanese-vocabulary-u4.html -> OK
File: jlpt-n3-kanji-reading-practice-part2.html -> OK
File: oshikatsu-japanese-vocabulary-u3.html -> OK
File: jlpt-n5-essential-japanese-expressions-part4.html -> OK
File: oshikatsu-japanese-vocabulary.html -> OK
File: jlpt-pass-n1-guide.html -> OK
File: japan-food-japanese-vocabulary-u6.html -> OK
File: japan-travel-japanese-vocabulary-u4.html -> OK
File: jlpt-n3-listening-practice.html -> OK
File: jlpt-n4-essential-japanese-expressions-part4.html -> OK
File: jlpt-pass-n4-guide.html -> OK
File: index.html -> OK
File: japan-travel-japanese-vocabulary-u5.html -> OK
File: jlpt-study-method.html -> OK
File: jlpt-n1-exam-mastery-strategies-part6.html -> OK
File: jlpt-n1-reading-vocabulary-analysis-part1.html -> OK
File: jlpt-n1-advanced-japanese-idioms-part2.html -> OK
File: hub.html -> OK
File: jlpt-n4-kanji-reading-listening-part2.html -> OK
File: privacy-policy.html -> Missing Canonical, Missing JSON-LD, Low Content (4483 chars)
File: contact.html -> Missing Canonical, Missing JSON-LD, Low Content (1740 chars)
File: oshikatsu-japanese-vocabulary-u2.html -> OK
File: jlpt-n3-vocab-grammar-analysis-part1.html -> OK
File: jlpt-vocabulary-mastery.html -> OK
File: japan-medical-japanese-vocabulary-u5.html -> OK
File: jlpt-n2-practical-listening-drills-part4.html -> OK
File: jlpt-game-learning-style.html -> OK
File: jlpt-n2-listening-vocabulary-analysis-part1.html -> OK
File: jlpt-n4-listening-practice.html -> OK
File: japan-travel-japanese-vocabulary.html -> OK
File: sitemap.html -> OK
File: japan-travel-japanese-vocabulary-u2.html -> OK
File: google403c7037defb5219.html -> Missing Canonical, Missing JSON-LD, Meta Desc NOT Thai, Missing H1, Low Content (53 chars)
File: jlpt-n2-exam-preparation-strategies-part6.html -> OK
File: japan-medical-japanese-vocabulary-u2.html -> OK
File: oshikatsu-japanese-vocabulary-u5.html -> OK
File: jlpt-thai-speakers.html -> OK
File: jlpt-how-to-pass.html -> OK
File: terms.html -> Missing Canonical, Missing JSON-LD, Low Content (4105 chars)
File: jlpt-n1-high-level-listening-drills-part4.html -> AI Phrases: ['と言えるでしょう']
File: piano.html -> Missing H1, Low Content (110 chars)
File: jlpt-pass-n3-guide.html -> OK
File: japanese-text-learning.html -> OK
File: jlpt-n3-practical-japanese-phrases-part4.html -> OK
File: jlpt-interest-japanese.html -> OK
File: top.html -> OK
File: oshikatsu-japanese-vocabulary-u4.html -> OK
File: japan-medical-japanese-vocabulary-u3.html -> OK
File: lp.html -> OK
File: jlpt-n5-kanji-reading-listening-part2.html -> OK
File: japan-travel-japanese-vocabulary-u3.html -> OK
File: japan-food-japanese-vocabulary-u1.html -> OK
File: jlpt-n2-business-japanese-expressions-part2.html -> OK
File: jlpt-kanji-skills.html -> OK
File: japan-food-japanese-vocabulary-u2.html -> OK
File: jlpt-pass-n5-guide.html -> OK
File: jlpt-n2-listening-practice.html -> OK
File: japan-medical-japanese-vocabulary-u1.html -> OK
File: japan-food-japanese-vocabulary.html -> OK
File: jlpt-n2-advanced-grammar-patterns-part3.html -> AI Phrases: ['と言えるでしょう']
File: jlpt-n4-common-phrases-analysis-part3.html -> OK
File: jlpt-n3-sentence-structure-drill-part3.html -> OK
File: japan-food-japanese-vocabulary-u3.html -> OK
File: japan-travel-japanese-vocabulary-u1.html -> OK
File: jlpt-grammar-lesson.html -> OK
File: jlpt-n1-complex-grammar-patterns-part3.html -> OK
File: jlpt-n4-grammar-vocabulary-breakdown-part1.html -> OK
File: jlpt-n2-native-conversation-practice-part5.html -> OK
File: jlpt-learn-japanese.html -> OK
File: oshikatsu-japanese-vocabulary-u1.html -> OK
File: japan-medical-japanese-vocabulary-u6.html -> OK
File: jlpt-n1-listening-practice.html -> OK
File: jlpt-n5-basic-grammar-vocabulary-part1.html -> OK
File: japan-food-japanese-vocabulary-u4.html -> OK
File: japan-medical-japanese-vocabulary.html -> OK
File: jlpt-japanese-conversation.html -> OK
File: study.html -> OK
File: japan-food-japanese-vocabulary-u5.html -> OK
File: jlpt-n5-common-phrases-analysis-part3.html -> OK
File: jlpt-pass-n2-guide.html -> OK
File: jlpt-n5-listening-practice.html -> OK
File: jlpt-n1-native-level-expressions-part5.html -> OK
